Time(s)	CH1(V)	CH2(V)	CH3(V)	CH4(V)
1.6880000000e-02	0.031250	0.000000	0.031250	0.031250
1.6888000000e-02	0.031250	0.000000	0.031250	0.031250
1.6896000000e-02	0.031250	0.000000	0.031250	0.031250
1.6904000000e-02	0.031250	0.000000	0.031250	0.031250
1.6912000000e-02	0.031250	0.000000	0.031250	0.031250
1.6920000000e-02	0.031250	0.000000	0.031250	0.031250
1.6928000000e-02	0.031250	0.000000	0.031250	0.031250
1.6936000000e-02	0.031250	0.000000	0.031250	0.031250
1.6944000000e-02	0.031250	0.000000	0.031250	0.031250
1.6952000000e-02	0.031250	0.000000	0.031250	0.031250
1.6960000000e-02	0.031250	0.000000	0.031250	0.031250
1.6968000000e-02	0.031250	0.000000	0.031250	0.031250
1.6976000000e-02	0.031250	0.000000	0.031250	0.031250
1.6984000000e-02	0.031250	0.000000	0.031250	0.031250
1.6992000000e-02	0.031250	0.000000	0.031250	0.031250
1.7000000000e-02	0.031250	0.000000	0.031250	0.031250
1.7008000000e-02	0.031250	0.000000	0.031250	0.031250
1.7016000000e-02	0.031250	0.000000	0.031250	0.031250
1.7024000000e-02	0.031250	0.000000	0.031250	0.031250
1.7032000000e-02	0.031250	0.000000	0.031250	0.031250
1.7040000000e-02	0.031250	0.000000	0.031250	0.031250
1.7048000000e-02	0.031250	0.000000	0.031250	0.031250
1.7056000000e-02	0.031250	0.000000	0.031250	0.031250
1.7064000000e-02	0.031250	0.000000	0.031250	0.031250
1.7072000000e-02	0.031250	0.000000	0.031250	0.031250
1.7080000000e-02	0.031250	0.000000	0.031250	0.031250
1.7088000000e-02	0.031250	0.000000	0.031250	0.031250
1.7096000000e-02	0.031250	0.000000	0.031250	0.031250
1.7104000000e-02	0.031250	0.000000	0.031250	0.031250
1.7112000000e-02	0.031250	0.000000	0.031250	0.031250
1.7120000000e-02	0.031250	0.000000	0.031250	0.031250
1.7128000000e-02	0.031250	0.000000	0.031250	0.031250
1.7136000000e-02	0.031250	0.000000	0.031250	0.031250
1.7144000000e-02	0.031250	0.000000	0.031250	0.031250
1.7152000000e-02	0.031250	0.000000	0.031250	0.031250
1.7160000000e-02	0.031250	0.000000	0.031250	0.031250
1.7168000000e-02	0.031250	0.000000	0.031250	0.031250
1.7176000000e-02	0.031250	0.000000	0.031250	0.031250
1.7184000000e-02	0.031250	0.000000	0.031250	0.031250
1.7192000000e-02	0.031250	0.000000	0.031250	0.031250
1.7200000000e-02	0.031250	0.000000	0.031250	0.031250
1.7208000000e-02	0.031250	0.000000	0.031250	0.031250
1.7216000000e-02	0.031250	0.000000	0.031250	0.031250
1.7224000000e-02	0.031250	0.000000	0.031250	0.031250
1.7232000000e-02	0.031250	0.000000	0.031250	0.031250
1.7240000000e-02	0.031250	0.000000	0.031250	0.031250
1.7248000000e-02	0.031250	0.000000	0.031250	0.031250
1.7256000000e-02	0.031250	0.000000	0.031250	0.031250
1.7264000000e-02	0.031250	0.000000	0.031250	0.031250
1.7272000000e-02	0.031250	0.000000	0.031250	0.031250
1.7280000000e-02	0.031250	0.000000	0.031250	0.031250
1.7288000000e-02	0.031250	0.031250	0.031250	0.031250
1.7296000000e-02	0.031250	0.000000	0.031250	0.031250
1.7304000000e-02	3.343750	0.000000	0.031250	0.031250
1.7312000000e-02	3.406250	0.000000	0.031250	0.031250
1.7320000000e-02	3.343750	0.000000	0.031250	0.031250
1.7328000000e-02	3.406250	0.000000	0.031250	0.031250
1.7336000000e-02	3.406250	0.000000	0.031250	0.031250
1.7344000000e-02	3.406250	0.000000	0.031250	0.031250
1.7352000000e-02	3.406250	0.000000	0.031250	0.031250
1.7360000000e-02	3.343750	0.000000	0.031250	0.031250
1.7368000000e-02	3.406250	0.000000	0.031250	0.031250
1.7376000000e-02	3.406250	0.000000	0.031250	0.031250
1.7384000000e-02	3.406250	0.000000	0.031250	0.031250
1.7392000000e-02	3.406250	0.000000	0.031250	0.031250
1.7400000000e-02	3.406250	0.000000	0.031250	0.031250
1.7408000000e-02	3.343750	0.000000	0.031250	0.031250
1.7416000000e-02	3.406250	0.000000	0.031250	0.031250
1.7424000000e-02	3.406250	0.000000	0.031250	0.031250
1.7432000000e-02	3.406250	0.000000	0.031250	0.031250
1.7440000000e-02	3.406250	0.000000	0.031250	0.031250
1.7448000000e-02	3.406250	0.000000	0.031250	0.031250
1.7456000000e-02	3.343750	0.000000	0.031250	0.031250
1.7464000000e-02	3.406250	0.000000	0.031250	0.031250
1.7472000000e-02	3.343750	0.000000	0.031250	0.031250
1.7480000000e-02	3.406250	0.000000	0.031250	0.031250
1.7488000000e-02	3.406250	0.000000	0.031250	0.031250
1.7496000000e-02	3.343750	0.000000	0.031250	0.031250
1.7504000000e-02	3.406250	0.000000	0.031250	0.031250
1.7512000000e-02	3.406250	0.000000	0.031250	0.031250
1.7520000000e-02	3.343750	0.000000	0.031250	0.031250
1.7528000000e-02	3.406250	0.000000	0.031250	0.031250
1.7536000000e-02	3.406250	0.000000	0.031250	0.031250
1.7544000000e-02	3.343750	0.000000	0.031250	0.031250
1.7552000000e-02	3.406250	0.000000	0.031250	0.031250
1.7560000000e-02	3.406250	0.000000	0.031250	0.031250
1.7568000000e-02	3.343750	0.000000	0.031250	0.031250
1.7576000000e-02	3.406250	0.000000	0.031250	0.031250
1.7584000000e-02	3.406250	0.000000	0.031250	0.031250
1.7592000000e-02	3.343750	0.000000	0.031250	0.031250
1.7600000000e-02	3.406250	0.000000	0.031250	0.031250
1.7608000000e-02	3.406250	0.000000	0.031250	0.031250
1.7616000000e-02	3.343750	0.000000	0.031250	0.031250
1.7624000000e-02	3.406250	0.000000	0.031250	0.031250
1.7632000000e-02	3.406250	0.000000	0.031250	0.031250
1.7640000000e-02	3.343750	0.000000	0.031250	0.031250
1.7648000000e-02	3.406250	0.000000	0.031250	0.031250
1.7656000000e-02	3.343750	0.000000	0.031250	0.031250
1.7664000000e-02	3.343750	0.000000	0.031250	0.031250
1.7672000000e-02	3.406250	0.000000	0.031250	0.031250
1.7680000000e-02	3.343750	0.000000	0.031250	0.031250
1.7688000000e-02	3.406250	0.000000	0.031250	0.031250
1.7696000000e-02	3.406250	0.000000	0.031250	0.031250
1.7704000000e-02	3.343750	0.000000	0.031250	0.031250
1.7712000000e-02	3.406250	0.000000	0.031250	0.031250
1.7720000000e-02	3.406250	0.000000	0.031250	0.031250
1.7728000000e-02	3.406250	0.000000	0.031250	0.031250
1.7736000000e-02	3.343750	0.000000	0.031250	0.031250
1.7744000000e-02	3.406250	0.000000	0.031250	0.031250
1.7752000000e-02	3.343750	0.000000	0.031250	0.031250
1.7760000000e-02	3.343750	0.000000	0.031250	0.031250
1.7768000000e-02	3.406250	0.000000	0.031250	0.031250
1.7776000000e-02	3.343750	0.000000	0.031250	0.031250
1.7784000000e-02	3.343750	0.000000	0.031250	0.031250
1.7792000000e-02	3.406250	0.000000	0.031250	0.031250
1.7800000000e-02	3.343750	0.000000	0.031250	0.031250
1.7808000000e-02	3.406250	0.000000	0.031250	0.031250
1.7816000000e-02	3.343750	0.000000	0.031250	0.031250
1.7824000000e-02	3.343750	0.000000	0.031250	0.031250
1.7832000000e-02	3.406250	0.000000	0.031250	0.031250
1.7840000000e-02	3.406250	0.000000	0.031250	0.031250
1.7848000000e-02	3.343750	0.000000	0.031250	0.031250
1.7856000000e-02	3.406250	0.000000	0.031250	0.031250
1.7864000000e-02	3.406250	0.000000	0.031250	0.031250
1.7872000000e-02	3.343750	0.000000	0.031250	0.031250
1.7880000000e-02	3.406250	0.000000	0.031250	0.031250
1.7888000000e-02	3.343750	0.000000	0.031250	0.031250
1.7896000000e-02	3.343750	0.031250	0.031250	0.031250
1.7904000000e-02	3.406250	0.000000	0.031250	0.031250
1.7912000000e-02	3.343750	0.000000	0.031250	0.031250
1.7920000000e-02	3.343750	0.000000	0.031250	0.031250
1.7928000000e-02	3.406250	0.000000	0.031250	0.031250
1.7936000000e-02	3.343750	0.000000	0.031250	0.031250
1.7944000000e-02	3.406250	0.000000	0.031250	0.031250
1.7952000000e-02	3.406250	0.000000	0.031250	0.031250
1.7960000000e-02	3.343750	0.000000	0.031250	0.031250
1.7968000000e-02	3.406250	0.000000	0.031250	0.031250
1.7976000000e-02	3.343750	0.000000	0.031250	0.031250
1.7984000000e-02	3.343750	0.000000	0.031250	0.031250
1.7992000000e-02	3.406250	0.000000	0.031250	0.031250
1.8000000000e-02	3.343750	0.000000	0.031250	0.031250
1.8008000000e-02	3.343750	0.000000	0.031250	0.031250
1.8016000000e-02	3.406250	0.000000	0.031250	0.031250
1.8024000000e-02	3.343750	0.000000	0.031250	0.031250
1.8032000000e-02	3.343750	0.000000	0.031250	0.031250
1.8040000000e-02	3.406250	0.000000	0.031250	0.031250
1.8048000000e-02	3.343750	0.000000	0.031250	0.031250
1.8056000000e-02	3.343750	0.000000	0.031250	0.031250
1.8064000000e-02	3.406250	0.000000	0.031250	0.031250
1.8072000000e-02	3.343750	0.000000	0.031250	0.031250
1.8080000000e-02	3.406250	0.000000	0.031250	0.031250
1.8088000000e-02	3.343750	0.000000	0.031250	0.031250
1.8096000000e-02	3.343750	0.000000	0.031250	0.031250
1.8104000000e-02	3.406250	0.000000	0.031250	0.031250
1.8112000000e-02	3.406250	0.000000	0.031250	0.031250
1.8120000000e-02	3.343750	0.000000	0.031250	0.031250
1.8128000000e-02	3.406250	0.000000	0.031250	0.031250
1.8136000000e-02	3.343750	0.000000	0.031250	0.031250
1.8144000000e-02	3.343750	0.000000	0.031250	0.031250
1.8152000000e-02	3.406250	0.000000	0.031250	0.031250
1.8160000000e-02	3.343750	0.000000	0.031250	0.031250
1.8168000000e-02	3.343750	0.000000	0.031250	0.031250
1.8176000000e-02	3.343750	0.000000	0.031250	0.031250
1.8184000000e-02	3.343750	0.000000	0.031250	0.031250
1.8192000000e-02	3.406250	0.000000	0.031250	0.031250
1.8200000000e-02	3.343750	0.000000	0.031250	0.031250
1.8208000000e-02	3.343750	0.000000	0.031250	0.031250
1.8216000000e-02	3.406250	0.000000	0.031250	0.031250
1.8224000000e-02	3.343750	0.000000	0.031250	0.031250
